logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 5.120000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 nan -1.955034835803350600e-03 5.110000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 nan -3.913899321136329532e-03 5.100000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 nan -5.876608488985041873e-03 5.090000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 nan -7.843177461025892597e-03 5.080000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 nan -9.813621448324622021e-03 5.070000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.178795575204224198e-02 5.060000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.376619576414796035e-02 5.050000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.574835696813917107e-02 5.040000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.773445493976857912e-02 5.030000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -1.972450534777859046e-02 5.020000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -2.171852395464298618e-02 5.010000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -2.371652661731604023e-02 5.000000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -2.571852928798911905e-02 4.990000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -2.772454801485485856e-02 4.980000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -2.973459894287905705e-02 4.970000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -3.174869831458029812e-02 4.960000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -3.376686247081747694e-02 4.950000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -3.578910785158527508e-02 4.940000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -3.781545099681767053e-02 4.930000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -3.984590854719966685e-02 4.920000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -4.188049724498719983e-02 4.910000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -4.391923393483548183e-02 4.900000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -4.596213556463574906e-02 4.890000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
-1.000000000000000053e+300 inf -4.800921918636059937e-02 4.880000000000000000e+02 -1.000000000000000053e+300 -1.000000000000000053e+300 nan
